universal_part_id,brand,brand_sku,manufacturer_sku,member_type,source_audit_key,confidence,status
BOLT-1-4-20-X-1-1-2,Columbia,,,schematic_observation,bolt 1/4-20 x 1-1/2,medium,review
BOLT-1-4-20-X-1-1-2,Platinum,,,schematic_observation,bolt 1/4-20 x 1-1/2,medium,review
NUT-1-4-20-HEX,Columbia,CT109,CT109,catalog_sku,nut 1/4-20 hex,high,review
NUT-1-4-20-HEX,Columbia,FA291,FA291,catalog_sku,nut 1/4-20 hex,high,review
NUT-1-4-20-HEX,TapeTech,,,schematic_observation,nut 1/4-20 hex,high,review
NUT-1-4-20-NYLON-LOCK,Columbia,FA347,FA347,catalog_sku,nut 1/4-20 nylon lock,high,active
NUT-1-4-20-NYLON-LOCK,Columbia,FA290,FA290,catalog_sku,nut 1/4-20 nylon lock,high,active
NUT-1-4-20-NYLON-LOCK,Platinum,,,schematic_observation,nut 1/4-20 nylon lock,high,active
NUT-10-24,Asgard,,,schematic_observation,nut 10-24,high,review
NUT-10-24,Columbia,FA272,FA272,catalog_sku,nut 10-24,high,review
NUT-10-24,TapeTech,,,schematic_observation,nut 10-24,high,review
NUT-10-24-NYLON-LOCK,Asgard,,,schematic_observation,nut 10-24 nylon lock,high,active
NUT-10-24-NYLON-LOCK,Columbia,FA271,FA271,catalog_sku,nut 10-24 nylon lock,high,active
NUT-10-32-LOCK,Level5,,,schematic_observation,nut 10-32 lock,high,active
NUT-10-32-LOCK,Platinum,,,schematic_observation,nut 10-32 lock,high,active
NUT-3-8-16-NYLON-LOCK,Asgard,,,schematic_observation,nut 3/8-16 nylon lock,high,active
NUT-3-8-16-NYLON-LOCK,Columbia,FA358,FA358,catalog_sku,nut 3/8-16 nylon lock,high,active
NUT-4-40-HEX,Columbia,FA206,FA206,catalog_sku,nut 4-40 hex,high,active
NUT-4-40-HEX,TapeTech,059005,059005,catalog_sku,nut 4-40 hex,high,active
NUT-6-32-BRASS,Asgard,209058,209058,catalog_sku,nut 6-32 brass,high,active
NUT-6-32-BRASS,TapeTech,209058,209058,catalog_sku,nut 6-32 brass,high,active
O-RING-5-32-ID-9-16-OD,Asgard,,,schematic_observation,o-ring 5/32 id; 9/16 od,high,active
O-RING-5-32-ID-9-16-OD,TapeTech,,,schematic_observation,o-ring 5/32 id; 9/16 od,high,active
PIN-1-16-X-1-2-COTTER,Columbia,FA202,FA202,catalog_sku,pin 1/16 x 1/2 cotter,high,active
PIN-1-16-X-1-2-COTTER,TapeTech,,,schematic_observation,pin 1/16 x 1/2 cotter,high,active
SCREW-1-4-20-X-2-HEX-HEAD,Asgard,,,schematic_observation,screw 1/4-20 x 2 hex head,high,active
SCREW-1-4-20-X-2-HEX-HEAD,Level5,,,schematic_observation,screw 1/4-20 x 2 hex head,high,active
SCREW-1-4-20-X-5-8-SOCKET-HEAD,Asgard,,,schematic_observation,screw 1/4-20 x 5/8 socket head,high,active
SCREW-1-4-20-X-5-8-SOCKET-HEAD,Columbia,FA337,FA337,catalog_sku,screw 1/4-20 x 5/8 socket head,high,active
SCREW-1-4-20-X-5-8-SOCKET-HEAD,Level5,,,schematic_observation,screw 1/4-20 x 5/8 socket head,high,active
SCREW-10-24-X-1-1-4-FILLISTER-HEAD,Asgard,,,schematic_observation,screw 10-24 x 1-1/4 fillister head,high,active
SCREW-10-24-X-1-1-4-FILLISTER-HEAD,TapeTech,,,schematic_observation,screw 10-24 x 1-1/4 fillister head,high,active
SCREW-10-32-X-1-2-BINDER-HEAD,Asgard,509008,509008,catalog_sku,screw 10-32 x 1/2 binder head,high,active
SCREW-10-32-X-1-2-BINDER-HEAD,TapeTech,509008,509008,catalog_sku,screw 10-32 x 1/2 binder head,high,active
SCREW-4-40-X-1-BINDER-HEAD,Asgard,219092,219092,catalog_sku,screw 4-40 x 1 binder head,high,active
SCREW-4-40-X-1-BINDER-HEAD,TapeTech,219092,219092,catalog_sku,screw 4-40 x 1 binder head,high,active
SCREW-4-40-X-1-2-FILLISTER-HEAD,Columbia,FA219,FA219,catalog_sku,screw 4-40 x 1/2 fillister head,high,active
SCREW-4-40-X-1-2-FILLISTER-HEAD,Columbia,FA21A,FA21A,catalog_sku,screw 4-40 x 1/2 fillister head,high,active
SCREW-4-40-X-1-2-FILLISTER-HEAD,TapeTech,,,schematic_observation,screw 4-40 x 1/2 fillister head,high,active
SCREW-4-40-X-1-4-BINDER-HEAD,Asgard,,,schematic_observation,screw 4-40 x 1/4 binder head,high,active
SCREW-4-40-X-1-4-BINDER-HEAD,Columbia,FA213,FA213,catalog_sku,screw 4-40 x 1/4 binder head,high,active
SCREW-4-40-X-1-4-BINDER-HEAD,Level5,,,schematic_observation,screw 4-40 x 1/4 binder head,high,active
SCREW-4-40-X-1-4-BINDER-HEAD,TapeTech,,,schematic_observation,screw 4-40 x 1/4 binder head,high,active
SCREW-4-40-X-1-4-FILLISTER-HEAD,Columbia,FAZ10,FAZ10,catalog_sku,screw 4-40 x 1/4 fillister head,high,active
SCREW-4-40-X-1-4-FILLISTER-HEAD,Level5,,,schematic_observation,screw 4-40 x 1/4 fillister head,high,active
SCREW-4-40-X-1-4-FILLISTER-HEAD,Platinum,,,schematic_observation,screw 4-40 x 1/4 fillister head,high,active
SCREW-4-40-X-1-4-FILLISTER-HEAD,TapeTech,,,schematic_observation,screw 4-40 x 1/4 fillister head,high,active
SCREW-4-40-X-1-8-BINDER-HEAD,Asgard,,,schematic_observation,screw 4-40 x 1/8 binder head,high,active
SCREW-4-40-X-1-8-BINDER-HEAD,Columbia,FA208,FA208,catalog_sku,screw 4-40 x 1/8 binder head,high,active
SCREW-4-40-X-1-8-BINDER-HEAD,TapeTech,,,schematic_observation,screw 4-40 x 1/8 binder head,high,active
SCREW-4-40-X-3-16-BINDER-HEAD,Asgard,,,schematic_observation,screw 4-40 x 3/16 binder head,high,active
SCREW-4-40-X-3-16-BINDER-HEAD,Columbia,FA210,FA210,catalog_sku,screw 4-40 x 3/16 binder head,high,active
SCREW-4-40-X-3-16-BINDER-HEAD,Columbia,FAZ07,FAZ07,catalog_sku,screw 4-40 x 3/16 binder head,high,active
SCREW-4-40-X-3-16-BINDER-HEAD,Level5,,,schematic_observation,screw 4-40 x 3/16 binder head,high,active
SCREW-4-40-X-3-16-BINDER-HEAD,TapeTech,,,schematic_observation,screw 4-40 x 3/16 binder head,high,active
SCREW-4-40-X-3-16-FILLISTER-HEAD,Asgard,889030,889030,catalog_sku,screw 4-40 x 3/16 fillister head,high,active
SCREW-4-40-X-3-16-FILLISTER-HEAD,TapeTech,889030,889030,catalog_sku,screw 4-40 x 3/16 fillister head,high,active
SCREW-4-40-X-5-16-BINDER-HEAD,Asgard,,,schematic_observation,screw 4-40 x 5/16 binder head,high,active
SCREW-4-40-X-5-16-BINDER-HEAD,Columbia,FA215,FA215,catalog_sku,screw 4-40 x 5/16 binder head,high,active
SCREW-4-40-X-5-16-BINDER-HEAD,TapeTech,,,schematic_observation,screw 4-40 x 5/16 binder head,high,active
SCREW-5-16-18-X-7-8-HEX-HEAD,Asgard,,,schematic_observation,screw 5/16-18 x 7/8 hex head,high,active
SCREW-5-16-18-X-7-8-HEX-HEAD,Level5,,,schematic_observation,screw 5/16-18 x 7/8 hex head,high,active
SCREW-6-32-FLAT-HEAD,Asgard,059107,059107,catalog_sku,screw 6-32 flat head,high,quarantine
SCREW-6-32-FLAT-HEAD,TapeTech,059107,059107,catalog_sku,screw 6-32 flat head,high,quarantine
SCREW-6-32-X-1-2-FILLISTER-HEAD,Asgard,059091,059091,catalog_sku,screw 6-32 x 1/2 fillister head,high,active
SCREW-6-32-X-1-2-FILLISTER-HEAD,Columbia,FA245,FA245,catalog_sku,screw 6-32 x 1/2 fillister head,high,active
SCREW-6-32-X-1-2-FILLISTER-HEAD,Level5,,,schematic_observation,screw 6-32 x 1/2 fillister head,high,active
SCREW-6-32-X-1-2-FILLISTER-HEAD,Platinum,,,schematic_observation,screw 6-32 x 1/2 fillister head,high,active
SCREW-6-32-X-1-2-FILLISTER-HEAD,TapeTech,059091,059091,catalog_sku,screw 6-32 x 1/2 fillister head,high,active
SCREW-6-32-X-1-4-BINDER-HEAD,Asgard,,,schematic_observation,screw 6-32 x 1/4 binder head,high,active
SCREW-6-32-X-1-4-BINDER-HEAD,Columbia,FA239,FA239,catalog_sku,screw 6-32 x 1/4 binder head,high,active
SCREW-6-32-X-1-4-BINDER-HEAD,Level5,,,schematic_observation,screw 6-32 x 1/4 binder head,high,active
SCREW-6-32-X-1-4-BINDER-HEAD,TapeTech,,,schematic_observation,screw 6-32 x 1/4 binder head,high,active
SCREW-6-32-X-1-4-FILLISTER-HEAD,Asgard,,,schematic_observation,screw 6-32 x 1/4 fillister head,high,active
SCREW-6-32-X-1-4-FILLISTER-HEAD,Level5,,,schematic_observation,screw 6-32 x 1/4 fillister head,high,active
SCREW-6-32-X-1-4-FILLISTER-HEAD,Platinum,,,schematic_observation,screw 6-32 x 1/4 fillister head,high,active
SCREW-6-32-X-1-4-FILLISTER-HEAD,TapeTech,,,schematic_observation,screw 6-32 x 1/4 fillister head,high,active
SCREW-8-32-X-3-8,Columbia,FA261,FA261,catalog_sku,screw 8-32 x 3/8,high,review
SCREW-8-32-X-3-8,Level5,,,schematic_observation,screw 8-32 x 3/8,high,review
SCREW-8-32-X-3-8,Platinum,,,schematic_observation,screw 8-32 x 3/8,high,review
SCREW-8-32-X-3-8,TapeTech,,,schematic_observation,screw 8-32 x 3/8,high,review
SCREW-8-32-X-3-8-BINDER-HEAD,Asgard,,,schematic_observation,screw 8-32 x 3/8 binder head,high,active
SCREW-8-32-X-3-8-BINDER-HEAD,TapeTech,,,schematic_observation,screw 8-32 x 3/8 binder head,high,active
SCREW-8-32-X-5-8-TRUSS,Asgard,,,schematic_observation,screw 8-32 x 5/8 truss,high,active
SCREW-8-32-X-5-8-TRUSS,TapeTech,,,schematic_observation,screw 8-32 x 5/8 truss,high,active
SET-SCREW-1-4-28-X-1-4,Columbia,FA302,FA302,catalog_sku,set screw 1/4-28 x 1/4,high,active
SET-SCREW-1-4-28-X-1-4,TapeTech,,,schematic_observation,set screw 1/4-28 x 1/4,high,active
SET-SCREW-4-40-X-1-8,Columbia,FAZ1S,FAZ1S,catalog_sku,set screw 4-40 x 1/8,high,active
SET-SCREW-4-40-X-1-8,TapeTech,,,schematic_observation,set screw 4-40 x 1/8,high,active
SET-SCREW-6-32-X-1-8,Columbia,FA235,FA235,catalog_sku,set screw 6-32 x 1/8,high,active
SET-SCREW-6-32-X-1-8,Columbia,FAZ21S,FAZ21S,catalog_sku,set screw 6-32 x 1/8,high,active
SET-SCREW-6-32-X-1-8,TapeTech,,,schematic_observation,set screw 6-32 x 1/8,high,active
SET-SCREW-8-32-X-1-4,Asgard,,,schematic_observation,set screw 8-32 x 1/4,high,review
SET-SCREW-8-32-X-1-4,Columbia,FAZ5S,FAZ5S,catalog_sku,set screw 8-32 x 1/4,high,review
SET-SCREW-8-32-X-1-4,TapeTech,,,schematic_observation,set screw 8-32 x 1/4,high,review
WASHER-10-BRASS,Asgard,,,schematic_observation,washer #10 brass,medium,review
WASHER-10-BRASS,Level5,,,schematic_observation,washer #10 brass,medium,review
WASHER-10-BRASS,Platinum,,,schematic_observation,washer #10 brass,medium,review
WASHER-10-BRASS,TapeTech,,,schematic_observation,washer #10 brass,medium,review
WASHER-10-FLAT,Columbia,FA268,FA268,catalog_sku,washer #10 flat,medium,review
WASHER-10-FLAT,TapeTech,,,schematic_observation,washer #10 flat,medium,review
WASHER-10-LOCK,Asgard,,,schematic_observation,washer #10 lock,medium,review
WASHER-10-LOCK,TapeTech,,,schematic_observation,washer #10 lock,medium,review
WASHER-6-FLAT,Asgard,,,schematic_observation,washer #6 flat,high,active
WASHER-6-FLAT,Columbia,FA228,FA228,catalog_sku,washer #6 flat,high,active
WASHER-6-FLAT,TapeTech,,,schematic_observation,washer #6 flat,high,active
WASHER-6-LOCK,Asgard,,,schematic_observation,washer #6 lock,high,active
WASHER-6-LOCK,Columbia,FA229,FA229,catalog_sku,washer #6 lock,high,active
WASHER-6-LOCK,Level5,,,schematic_observation,washer #6 lock,high,active
WASHER-6-LOCK,TapeTech,,,schematic_observation,washer #6 lock,high,active
WASHER-8-LOCK,Asgard,,,schematic_observation,washer #8 lock,high,active
WASHER-8-LOCK,Columbia,FA28,FA28,catalog_sku,washer #8 lock,high,active
WASHER-8-LOCK,TapeTech,,,schematic_observation,washer #8 lock,high,active
WASHER-5-16-FLAT,Columbia,FA303,FA303,catalog_sku,washer 5/16 flat,medium,review
WASHER-5-16-FLAT,Columbia,FA304,FA304,catalog_sku,washer 5/16 flat,medium,review
WASHER-5-16-FLAT,TapeTech,,,schematic_observation,washer 5/16 flat,medium,review
