,,,,,Order Form,,,,,,,,
Customer:,,0,,,,,,,Order date:,,00:00:00,,
Ship To:,,0,,,,,,,PO#:,,0,,
0,,,,,,,,,Need by date:,,00:00:00,,
0,,,,,,,,,Carrier:,,0,,
ALL PARTS SALES ARE FINAL,,,,,,,,,,,,,
Part #,Sku #,Description,Brand,Product Group,Product Type,MSRP,MAPP,Your Price,UOM,Order Quantity,Total Price,,
TAPER PARTS,,,,,,,,,,,,,
449209,7001,Handle Outlet Valve,LEVEL5,Drywall Auto Tools,Parts,37.99,32.29,22.6,Each,,0,,
449210,7002,"Wiper, Control Valve",LEVEL5,Drywall Auto Tools,Parts,5.49,4.67,3.27,Each,,0,,
448572,7005,Lock Roller Assembly (Brake),LEVEL5,Drywall Auto Tools,Parts,15.49,13.17,9.22,Each,,0,,
448579,7035,Anvil,LEVEL5,Drywall Auto Tools,Parts,18.49,15.72,11,Each,,0,,
448583,7040,Needle Gooser,LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
448589,7059,Creaser Wheel,LEVEL5,Drywall Auto Tools,Parts,5.99,5.09,3.56,Each,,0,,
448438,7063,Bearing Nyliner,LEVEL5,Drywall Auto Tools,Parts,2.49,2.12,1.48,Each,,0,,
448956,7069,8-32 x 5/16 Setscrew,LEVEL5,Drywall Auto Tools,Parts,3.99,3.39,2.37,Each,,0,,
448593,7077,Taper Wheel,LEVEL5,Drywall Auto Tools,Parts,21.49,18.27,12.79,Each,,0,,
448966,7094,Spring Drive Dog,LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448605,7097,Drive Dog Assembly,LEVEL5,Drywall Auto Tools,Parts,150.49,127.92,89.54,Each,,0,,
448494,7104,Main Chain,LEVEL5,Drywall Auto Tools,Parts,75.49,64.17,44.92,Each,,0,,
448609,7111,Pyramid Blade,LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448969,7116,"1/16 x 1/2"" Cotter Pin ",LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
448441,7119,Nyliner Bearing-Straight,LEVEL5,Drywall Auto Tools,Parts,4.49,3.82,2.67,Each,,0,,
448970,7126,4-40 x 5/16 BH Screw-,LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
448616,7132,Plunger Cup,LEVEL5,Drywall Auto Tools,Parts,43.49,36.97,25.88,Each,,0,,
449214,7137,Cable,LEVEL5,Drywall Auto Tools,Parts,11.99,10.19,7.13,Each,,0,,
448623,7164,Tape Spool,LEVEL5,Drywall Auto Tools,Parts,18.49,15.72,11,Each,,0,,
448444,7322,Bearing,LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448495,7332,Cutter Chain without Spring,LEVEL5,Drywall Auto Tools,Parts,97.99,83.29,58.3,Each,,0,,
448709,7650,Top Cover Plate,LEVEL5,Drywall Auto Tools,Parts,24.49,20.82,14.57,Each,,0,,
448710,7654,Cover Plate Knob,LEVEL5,Drywall Auto Tools,Parts,14.99,12.74,8.92,Each,,0,,
448712,7656,Bottom Cover Plate,LEVEL5,Drywall Auto Tools,Parts,127.99,108.79,76.15,Each,,0,,
448790,8164,Drive Shaft Assembly,LEVEL5,Drywall Auto Tools,Parts,37.99,32.29,22.6,Each,,0,,
449120,9007,Roller Axle Spring (Brake Pin),LEVEL5,Drywall Auto Tools,Parts,7.99,6.79,4.75,Each,,0,,
448823,9027,Push Rod Assembly,LEVEL5,Drywall Auto Tools,Parts,53.99,45.89,32.12,Each,,0,,
449123,9066,Creaser Spring - Taper,LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
449124,9108,Cutter Spring- Taper,LEVEL5,Drywall Auto Tools,Parts,18.49,15.72,11,Each,,0,,
PUMP PARTS,,,,,,,,,,,,,
448670,7323,Gland,LEVEL5,Drywall Auto Tools,Parts,36.49,31.02,21.71,Each,,0,,
449187,7324,U-Seal,LEVEL5,Drywall Auto Tools,Parts,4.99,4.24,2.97,Each,,0,,
449022,7326,5/16-24 Hex Head,LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
449024,7328,Piston Cups,LEVEL5,Drywall Auto Tools,Parts,13.99,11.89,8.32,Each,,0,,
448671,7329,Valve Disc,LEVEL5,Drywall Auto Tools,Parts,9.49,8.07,5.65,Each,,0,,
449177,7350,Filler O'Ring,LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
449029,7352,5-16-24 x 1 7/16 Std Screw,LEVEL5,Drywall Auto Tools,Parts,12.49,10.62,7.43,Each,,0,,
449030,7353,Special Nut,LEVEL5,Drywall Auto Tools,Parts,12.49,10.62,7.43,Each,,0,,
448675,7355,Filler Body,LEVEL5,Drywall Auto Tools,Parts,60.49,51.42,35.99,Each,,0,,
448676,7356,Discharge Tube,LEVEL5,Drywall Auto Tools,Parts,30.49,25.92,18.14,Each,,0,,
448677,7358,Chain Assembly (W/ 1 S Hook),LEVEL5,Drywall Auto Tools,Parts,22.49,19.12,13.38,Each,,0,,
449188,7362,Gooseneck Gasket,LEVEL5,Drywall Auto Tools,Parts,6.49,5.52,3.86,Each,,0,,
449062,7621,Pin,LEVEL5,Drywall Auto Tools,Parts,22.99,19.54,13.68,Each,,0,,
449063,7622,Quick Release Pin,LEVEL5,Drywall Auto Tools,Parts,22.49,19.12,13.38,Each,,0,,
449178,7633,Pump O-Ring,LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448862,9330,Pump Tube Foot,LEVEL5,Drywall Auto Tools,Parts,18.99,16.14,11.3,Each,,0,,
448866,9348,Screen for New Pump,LEVEL5,Drywall Auto Tools,Parts,5.99,5.09,3.56,Each,,0,,
448512,9623,New pump latches,LEVEL5,Drywall Auto Tools,Parts,30.49,25.92,18.14,Each,,0,,
448887,9624,Pump Tube,LEVEL5,Drywall Auto Tools,Parts,180.49,153.42,107.39,Each,,0,,
BOX PARTS,,,,,,,,,,,,,
448441,7119,Nylon Bearing-Straight,LEVEL5,Drywall Auto Tools,Parts,4.49,3.82,2.67,Each,,0,,
448634,7207,"7"" Flat Box Blade",LEVEL5,Drywall Auto Tools,Parts,4.99,4.24,2.97,Each,,0,,
448635,7208,"Blade Holder Assembly 7""",LEVEL5,Drywall Auto Tools,Parts,180.49,153.42,107.39,Each,,0,,
448636,7212,"Skid Cover Rt Side, Universal",LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448468,7216,Crown Spring,LEVEL5,Drywall Auto Tools,Parts,9.49,8.07,5.65,Each,,0,,
448499,7224,Repair Clip,LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
448642,7239,Skid Cover Left Side Universal,LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448648,7254,"10"" Flat Box Blade",LEVEL5,Drywall Auto Tools,Parts,7.99,6.79,4.75,Each,,0,,
448652,7268,"10"" Clamp Assembly Classic Box",LEVEL5,Drywall Auto Tools,Parts,37.99,32.29,22.6,Each,,0,,
448653,7270,"12"" Flat Box Blade",LEVEL5,Drywall Auto Tools,Parts,9.49,8.07,5.65,Each,,0,,
448654,7273,"14"" Flat Box Blade",LEVEL5,Drywall Auto Tools,Parts,10.99,9.34,6.54,Each,,0,,
448655,7274,"14"" Box Blade Holder Assembly",LEVEL5,Drywall Auto Tools,Parts,270.49,229.92,160.94,Each,,0,,
448469,7275,"12/14"" Crown Spring",LEVEL5,Drywall Auto Tools,Parts,19.99,16.99,11.89,Each,,0,,
448660,7284,"Blade Holder Assembly 12""",LEVEL5,Drywall Auto Tools,Parts,240.49,204.42,143.09,Each,,0,,
449195,8270,"Flat Box Seal, 10""",LEVEL5,Drywall Auto Tools,Parts,52.99,45.04,31.53,Each,,0,,
449196,8271,"Flat Box Seal, 7""",LEVEL5,Drywall Auto Tools,Parts,42.49,36.12,25.28,Each,,0,,
449197,8272,"Flat Box Seal, 12""",LEVEL5,Drywall Auto Tools,Parts,60.49,51.42,35.99,Each,,0,,
449198,8274,"14"" Flat Box Gasket",LEVEL5,Drywall Auto Tools,Parts,67.99,57.79,40.45,Each,,0,,
449106,8301,#10-32 Hex Head Shoulder Screw,LEVEL5,Drywall Auto Tools,Parts,6.49,5.52,3.86,Each,,0,,
448890,9685,FB Box Tire,LEVEL5,Drywall Auto Tools,Parts,2.49,2.12,1.48,Each,,0,,
448896,9719,"FB Box Wheel, Black",LEVEL5,Drywall Auto Tools,Parts,9.49,8.07,5.65,Each,,0,,
CORNER FINISHER PARTS,,,,,,,,,,,,,
448504,7740,CF Lock Clip Spring,LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
448505,7741,CF Ball Locking Clip,LEVEL5,Drywall Auto Tools,Parts,25.99,22.09,15.46,Each,,0,,
448840,9188,"CF 3"" Blade",LEVEL5,Drywall Auto Tools,Parts,37.99,32.29,22.6,Each,,0,,
448841,9189,"CF 2.5"" and 3"" Skid",LEVEL5,Drywall Auto Tools,Parts,22.99,19.54,13.68,Each,,0,,
449126,9191,CF 6-32 x 1/8 SS Hex,LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
448508,9192,"CF Bottom Clip 2.5"" & 3""",LEVEL5,Drywall Auto Tools,Parts,16.99,14.44,10.11,Each,,0,,
448509,9195,CF Top Clip,LEVEL5,Drywall Auto Tools,Parts,9.49,8.07,5.65,Each,,0,,
448510,9196,"CF Buttom Clip 3.5"" & 4""",LEVEL5,Drywall Auto Tools,Parts,16.99,14.44,10.11,Each,,0,,
448511,9197,"CF Top Clip 3.5"" & 4""",LEVEL5,Drywall Auto Tools,Parts,9.49,8.07,5.65,Each,,0,,
448537,9512,CF Rubber Tire,LEVEL5,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
448873,9525,"CF 3.5"" & 4"" Skids",LEVEL5,Drywall Auto Tools,Parts,24.49,20.82,14.57,Each,,0,,
448893,9706,"CF 2.5"" Blade",LEVEL5,Drywall Auto Tools,Parts,27.49,23.37,16.36,Each,,0,,
448901,9815,"CF 3.5"" Blade",LEVEL5,Drywall Auto Tools,Parts,45.49,38.67,27.07,Each,,0,,
448902,9816,"4"" Blade-Corner Finisher",LEVEL5,Drywall Auto Tools,Parts,52.99,45.04,31.53,Each,,0,,
APPLICATOR PARTS,,,,,,,,,,,,,
449037,7378,"5/16 - 18 3/4 Thumbscrew, SS",LEVEL5,Drywall Auto Tools,Parts,7.99,6.79,4.75,Each,,0,,
448446,7409,"Bearing, 5L7D-642",LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448472,7792,Latch,LEVEL5,Drywall Auto Tools,Parts,7.49,6.37,4.46,Each,,0,,
449200,9312,"Wiper Seal 7""",LEVEL5,Drywall Auto Tools,Parts,27.49,23.37,16.36,Each,,0,,
449201,9313,"8"" App. Gasket",LEVEL5,Drywall Auto Tools,Parts,27.49,23.37,16.36,Each,,0,,
448483,9314,Corner Applicator Bracket,LEVEL5,Drywall Auto Tools,Parts,45.49,38.67,27.07,Each,,0,,
448859,9317,Corner Applicator Cone,LEVEL5,Drywall Auto Tools,Parts,135.49,115.17,80.62,Each,,0,,
EXT BOX HANDLE PARTS,,,,,,,,,,,,,
448438,7063,Bearing Nyliner,LEVEL5,Drywall Auto Tools,Parts,2.49,2.12,1.48,Each,,0,,
448804,8405,Ext. Handle Lever,LEVEL5,Drywall Auto Tools,Parts,60.49,51.42,35.99,Each,,0,,
448455,8515,Plastic Bearing,LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448456,8516,Plastic Bearing,LEVEL5,Drywall Auto Tools,Parts,3.49,2.97,2.08,Each,,0,,
448817,8519,EXT Box Handle Brake Assembly,LEVEL5,Drywall Auto Tools,Parts,37.99,32.29,22.6,Each,,0,,
449118,8700,"Drive Dog Set Screw - SS 8-32 x 3/16""",LEVEL5,Drywall Auto Tools,Parts,7.99,6.79,4.75,Each,,0,,
448845,9212,Ext. Box Handle Head,LEVEL5,Drywall Auto Tools,Parts,142.99,121.54,85.08,Each,,0,,
448907,9903,EH- Handle Head to Plate Connector,LEVEL5,Drywall Auto Tools,Parts,7.99,6.79,4.75,Each,,0,,
ACC. HANDLE PARTS,,,,,,,,,,,,,
449038,7379,Small Thumb Screw,LEVEL5,Drywall Auto Tools,Parts,2.49,2.12,1.48,Each,,0,,
NAIL SPOTTER PARTS,,,,,,,,,,,,,
448663,7290,"2"" Nail Spotter Blade",LEVEL5,Drywall Auto Tools,Parts,18.49,15.72,11,Each,,0,,
448690,7454,3 Nail Spotter Blade,LEVEL5,Drywall Auto Tools,Parts,19.99,16.99,11.89,Each,,0,,
448714,7727,"2"" Wiper",LEVEL5,Drywall Auto Tools,Parts,25.99,22.09,15.46,Each,,0,,
448719,7734,"3"" Wiper",LEVEL5,Drywall Auto Tools,Parts,15.49,13.17,9.22,Each,,0,,
MUDSHOT PARTS,,,,,,,,,,,,,
448912,DXTT-1109,MudShot U-Cup,DEWALT,Drywall Auto Tools,Parts,9.49,8.07,5.65,Each,,0,,
448913,DXTT-1111,Clear Tube Base,DEWALT,Drywall Auto Tools,Parts,42.49,36.12,25.28,Each,,0,,
449183,DXTT-1117,Top Cone O'Ring,DEWALT,Drywall Auto Tools,Parts,2.49,2.12,1.48,Each,,0,,
448516,DXTT-1125,Top Cone (Plastic Part Only),DEWALT,Drywall Auto Tools,Parts,30.49,25.92,18.14,Each,,0,,
449166,DXTT-1126,Screw,DEWALT,Drywall Auto Tools,Parts,1.99,1.69,1.18,Each,,0,,
448920,DXTT-1132,MudShot Plunger U-Cup,DEWALT,Drywall Auto Tools,Parts,22.99,19.54,13.68,Each,,0,,
448921,DXTT-1133,MudShot Plunger  ,DEWALT,Drywall Auto Tools,Parts,30.49,25.92,18.14,Each,,0,,
449208,DXTT-1134,MudShot Cylinder Rod,DEWALT,Drywall Auto Tools,Parts,150.49,127.92,89.54,Each,,0,,
448492,DXTT-1137,MudShot Gas Cylinder,DEWALT,Drywall Auto Tools,Parts,135.49,115.17,80.62,Each,,0,,
448922,DXTT-1139,MudShot Cone Assembly,DEWALT,Drywall Auto Tools,Parts,300.49,255.42,178.79,Each,,0,,
448923,DXTT-1140,Mud Shot Tube Assembly,DEWALT,Drywall Auto Tools,Parts,412.99,351.04,245.73,Each,,0,,
448512,9623,New pump latches,LEVEL5,Drywall Auto Tools,Parts,30.49,25.92,18.14,Each,,0,,
,,,,,,,,,Total,0,0,,
