universal_part_id,canonical_name,part_family,brands,catalog_skus,searched_skus,selected_sku,image_file,source_image_path,match_type
NUT-1-4-20-NYLON-LOCK,1/4-20 Nylon Lock Nut,nut,Columbia;Platinum,FA347;FA290,FA347;FA290;FA;FA-347,FA,products/Production/launch/universal_parts/images/nut-1-4-20-nylon-lock.webp,products/Production/launch/launch_images/platinum_pt_fa_01.webp,exact_local_occurrence_sku_filename
NUT-10-24-NYLON-LOCK,10-24 Nylon Lock Nut,nut,Asgard;Columbia,FA271,FA271;4616;209017,FA271,products/Production/launch/universal_parts/images/nut-10-24-nylon-lock.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA271_76046d4d-e0c6-433b-a01b-6f88364f6239.jpg?v=1750246297,exact_csr_flipbook_shopify_variant_image
NUT-10-32-LOCK,10-32 Lock Nut,nut,Level5;Platinum,,8302,FA271,products/Production/launch/universal_parts/images/nut-10-32-lock.webp,products/Production/launch/launch_images/columbia_tools_fa271_01.webp,representative_local_sibling_sku:FA271
NUT-3-8-16-NYLON-LOCK,3/8-16 Nylon Lock Nut,nut,Asgard;Columbia,FA358,FA358;4652;709027,709027,products/Production/launch/universal_parts/images/nut-3-8-16-nylon-lock.webp,products/scraped_results/brands/TapeTech/images/tapetech-709027-01.webp,exact_local_occurrence_sku_filename
NUT-4-40-HEX,4-40 Hex Nut,nut,Columbia;TapeTech,FA206;059005,FA206;059005,FA206,products/Production/launch/universal_parts/images/nut-4-40-hex.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA206_01_1.jpg?v=1748023447,exact_csr_flipbook_shopify_variant_image
NUT-6-32-BRASS,6-32 Brass Nut,nut,Asgard;TapeTech,209058,209058;10006,209058,products/Production/launch/universal_parts/images/nut-6-32-brass.webp,products/scraped_results/brands/TapeTech/images/tapetech-209058-01.webp,exact_local_sku_filename
O-RING-5-32-ID-9-16-OD,5/32 ID x 9/16 OD x 1/16 Wide O-Ring,o-ring,Asgard;TapeTech,,059333,representative-o-ring,products/Production/launch/universal_parts/images/o-ring-5-32-id-9-16-od.webp,drywalltoolbox/wp/wp-content/uploads/2026/05/tapetech-o-ring-for-07tt-cover-plate-59332-01-1200x480.webp,representative_o_ring_local_product_image
PIN-1-16-X-1-2-COTTER,1/16 x 1/2 Cotter Pin,pin,Columbia;TapeTech,FA202,FA202;059143,FA202,products/Production/launch/universal_parts/images/pin-1-16-x-1-2-cotter.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA202_01_1.jpg?v=1748023108,exact_csr_flipbook_shopify_variant_image
SCREW-1-4-20-X-2-HEX-HEAD,1/4-20 x 2 Hex Head Screw,screw,Asgard;Level5,,729051;7363,709023,products/Production/launch/universal_parts/images/screw-1-4-20-x-2-hex-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-709023-01.webp,representative_local_sibling_sku:709023
SCREW-1-4-20-X-5-8-SOCKET-HEAD,1/4-20 x 5/8 Socket Head Screw,screw,Asgard;Columbia;Level5,FA337,FA337;4645;709006;7325,709006,products/Production/launch/universal_parts/images/screw-1-4-20-x-5-8-socket-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-709006-01.webp,exact_local_occurrence_sku_filename
SCREW-10-24-X-1-1-4-FILLISTER-HEAD,10-24 x 1-1/4 Fillister Head Screw,screw,Asgard;TapeTech,,4604;339073,209012,products/Production/launch/universal_parts/images/screw-10-24-x-1-1-4-fillister-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-209012-01.webp,representative_local_sibling_sku:209012
SCREW-10-32-X-1-2-BINDER-HEAD,10-32 x 1/2 Binder Head Screw,screw,Asgard;TapeTech,509008,509008;4863,509008,products/Production/launch/universal_parts/images/screw-10-32-x-1-2-binder-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-509008-01.webp,exact_local_sku_filename
SCREW-4-40-X-1-2-FILLISTER-HEAD,4-40 x 1/2 Fillister Head Screw,screw,Columbia;TapeTech,FA219;FA21A,FA219;FA21A,FA219,products/Production/launch/universal_parts/images/screw-4-40-x-1-2-fillister-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA219_01_1_b81b122c-83b4-4f73-8d0b-0e1879f0c5ae.jpg?v=1763480479,exact_csr_flipbook_shopify_variant_image
SCREW-4-40-X-1-4-BINDER-HEAD,4-40 x 1/4 Binder Head Screw,screw,Asgard;Columbia;Level5;TapeTech,FA213,FA213;4399;059037;7030,FA213,products/Production/launch/universal_parts/images/screw-4-40-x-1-4-binder-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA213_01_1.jpg?v=1763480464,exact_csr_flipbook_shopify_variant_image
SCREW-4-40-X-1-4-FILLISTER-HEAD,4-40 x 1/4 Fillister Head Screw,screw,Columbia;Level5;Platinum;TapeTech,FAZ10,FAZ10;7217;209012,209012,products/Production/launch/universal_parts/images/screw-4-40-x-1-4-fillister-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-209012-01.webp,exact_local_occurrence_sku_filename
SCREW-4-40-X-1-8-BINDER-HEAD,4-40 x 1/8 Binder Head Screw,screw,Asgard;Columbia;TapeTech,FA208,FA208;4714;209048,FA208,products/Production/launch/universal_parts/images/screw-4-40-x-1-8-binder-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA208_01_1_3649411a-4f78-428f-91a0-d16e45761c14.jpg?v=1748023506,exact_csr_flipbook_shopify_variant_image
SCREW-4-40-X-1-BINDER-HEAD,4-40 x 1 Binder Head Screw,screw,Asgard;TapeTech,219092,219092;12397,219092,products/Production/launch/universal_parts/images/screw-4-40-x-1-binder-head.webp,drywalltoolbox/wp/wp-content/uploads/2026/05/tapetech-screw-4-40-x-1-binder-head-ss-219092-02-480x480.webp,exact_local_sku_filename
SCREW-4-40-X-3-16-BINDER-HEAD,4-40 x 3/16 Binder Head Screw,screw,Asgard;Columbia;Level5;TapeTech,FA210;FAZ07,FA210;FAZ07;4407;059057;7047,FA210,products/Production/launch/universal_parts/images/screw-4-40-x-3-16-binder-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA210_01_1.jpg?v=1763480451,exact_csr_flipbook_shopify_variant_image
SCREW-4-40-X-3-16-FILLISTER-HEAD,4-40 x 3/16 Fillister Head Screw,screw,Asgard;TapeTech,889030,889030;5009,889030,products/Production/launch/universal_parts/images/screw-4-40-x-3-16-fillister-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-889030-01.webp,exact_local_sku_filename
SCREW-4-40-X-5-16-BINDER-HEAD,4-40 x 5/16 Binder Head Screw,screw,Asgard;Columbia;TapeTech,FA215,FA215;4434;059156,FA215,products/Production/launch/universal_parts/images/screw-4-40-x-5-16-binder-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA215_01_1.jpg?v=1766167890,exact_csr_flipbook_shopify_variant_image
SCREW-5-16-18-X-7-8-HEX-HEAD,5/16-18 x 7/8 Hex Head Screw,screw,Asgard;Level5,,4650;709023;7341,709023,products/Production/launch/universal_parts/images/screw-5-16-18-x-7-8-hex-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-709023-01.webp,exact_local_occurrence_sku_filename
SCREW-6-32-X-1-2-FILLISTER-HEAD,6-32 x 1/2 Fillister Head Screw,screw,Asgard;Columbia;Level5;Platinum;TapeTech,FA245;059091,FA245;059091;4417;FA;7075,FA245,products/Production/launch/universal_parts/images/screw-6-32-x-1-2-fillister-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA245_01_1_43f6e6a5-5317-4f4d-8b3d-2ef564b41c39.jpg?v=1764001218,exact_csr_flipbook_shopify_variant_image
SCREW-6-32-X-1-4-BINDER-HEAD,6-32 x 1/4 Binder Head Screw,screw,Asgard;Columbia;Level5;TapeTech,FA239,FA239;4771;359005;FA;7312,FA239,products/Production/launch/universal_parts/images/screw-6-32-x-1-4-binder-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA239_01_1_ed048456-6561-4495-9e6f-34bddeccc60b.jpg?v=1763480525,exact_csr_flipbook_shopify_variant_image
SCREW-6-32-X-1-4-FILLISTER-HEAD,6-32 x 1/4 Fillister Head Screw,screw,Asgard;Level5;Platinum;TapeTech,,4390;059015;7012,209012,products/Production/launch/universal_parts/images/screw-6-32-x-1-4-fillister-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-209012-01.webp,representative_local_sibling_sku:209012
SCREW-8-32-X-3-8-BINDER-HEAD,8-32 x 3/8 Binder Head Screw,screw,Asgard;TapeTech,,4670;729064,729064,products/Production/launch/universal_parts/images/screw-8-32-x-3-8-binder-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-729064-01.webp,exact_local_occurrence_sku_filename
SCREW-8-32-X-5-8-TRUSS,8-32 x 5/8 Truss Head Screw,screw,Asgard;TapeTech,,4428;059127,,,,missing
SET-SCREW-1-4-28-X-1-4,1/4-28 x 1/4 Set Screw,set screw,Columbia;TapeTech,FA302,FA302;809024,FA302,products/Production/launch/universal_parts/images/set-screw-1-4-28-x-1-4.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA302_01_1.jpg?v=1764182613,exact_csr_flipbook_shopify_variant_image
SET-SCREW-4-40-X-1-8,4-40 x 1/8 Set Screw,set screw,Columbia;TapeTech,FAZ1S,FAZ1S,,,,missing_exact_image_no_fallback
SET-SCREW-6-32-X-1-8,6-32 x 1/8 Set Screw,set screw,Columbia;TapeTech,FA235;FAZ21S,FA235;FAZ21S;FA;489013,FA235,products/Production/launch/universal_parts/images/set-screw-6-32-x-1-8.png,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA235_01_1.png?v=1764182413,exact_csr_flipbook_shopify_variant_image
WASHER-6-FLAT,#6 Flat Washer,washer,Asgard;Columbia;TapeTech,FA228,FA228;4849;489023;FA,FA228,products/Production/launch/universal_parts/images/washer-6-flat.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA228_01_1.jpg?v=1763480514,exact_csr_flipbook_shopify_variant_image
WASHER-6-LOCK,#6 Lock Washer,washer,Asgard;Columbia;Level5;TapeTech,FA229,FA229;4391;059016;FA;7013,FA229,products/Production/launch/universal_parts/images/washer-6-lock.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA229_01_1.jpg?v=1746450090,exact_csr_flipbook_shopify_variant_image
WASHER-8-LOCK,#8 Lock Washer,washer,Asgard;Columbia;TapeTech,FA28,FA28;4688;809017,809017,products/Production/launch/universal_parts/images/washer-8-lock.webp,drywalltoolbox/wp/wp-content/uploads/2026/05/tapetech-8-medium-spring-lockwasher-809017-01-480x480.webp,exact_local_occurrence_sku_filename
